,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
3152,V Shankar,Rajasthan Royals,Dubai International Cricket Stadium,1,0,22.5,17.857142857142858,1,0,38.111320754716985
3153,AB de Villiers,Delhi Capitals,Dubai International Cricket Stadium,3,0,25.818181818181817,29.833333333333332,1,0,22.0
3154,AJ Finch,Delhi Capitals,Dubai International Cricket Stadium,1,0,20.714285714285715,8.0,0,0,15.425
3155,D Padikkal,Delhi Capitals,Dubai International Cricket Stadium,2,0,22.7,28.833333333333332,2,0,4.483333333333333
3156,I Udana,Delhi Capitals,Dubai International Cricket Stadium,0,0,1.0,2.5,0,0,4.033333333333333
3157,MM Ali,Delhi Capitals,Dubai International Cricket Stadium,0,0,10.0,16.571428571428573,0,0,14.698290598290598
3158,MP Stoinis,Royal Challengers Bangalore,Dubai International Cricket Stadium,3,0,23.333333333333332,24.3,2,0,45.57586206896552
3159,Mohammed Siraj,Delhi Capitals,Dubai International Cricket Stadium,0,0,5.0,3.0,0,0,15.2
3160,NA Saini,Delhi Capitals,Dubai International Cricket Stadium,0,0,9.0,12.0,0,0,16.5
3161,PP Shaw,Royal Challengers Bangalore,Dubai International Cricket Stadium,2,0,24.09090909090909,20.444444444444443,0,0,39.703162055335966
3162,RR Pant,Royal Challengers Bangalore,Dubai International Cricket Stadium,2,0,26.76923076923077,35.083333333333336,4,0,25.715384615384615
3163,S Dhawan,Royal Challengers Bangalore,Dubai International Cricket Stadium,2,1,28.923076923076923,26.214285714285715,2,0,31.65714285714286
3164,S Dube,Delhi Capitals,Dubai International Cricket Stadium,0,0,15.8,19.0,0,0,15.266666666666666
3165,SO Hetmyer,Royal Challengers Bangalore,Dubai International Cricket Stadium,0,0,17.11111111111111,22.25,1,0,25.04805194805195
3166,SS Iyer,Royal Challengers Bangalore,Dubai International Cricket Stadium,2,0,24.615384615384617,28.4,3,0,16.767611336032388
3167,V Kohli,Delhi Capitals,Dubai International Cricket Stadium,3,0,29.90909090909091,29.88888888888889,2,0,20.36904761904762
3168,Washington Sundar,Delhi Capitals,Dubai International Cricket Stadium,0,0,15.5,9.6,0,0,24.254545454545454
3169,YS Chahal,Delhi Capitals,Dubai International Cricket Stadium,0,0,0.5,0.5,0,0,0.1
3170,CH Gayle,Kolkata Knight Riders,Sharjah Cricket Stadium,2,0,39.333333333333336,23.1,2,0,44.28620689655173
3171,CV Varun,Kings XI Punjab,Sharjah Cricket Stadium,0,0,4.5,2.0,0,0,6.2
3172,EJG Morgan,Kings XI Punjab,Sharjah Cricket Stadium,0,0,15.714285714285714,29.666666666666668,0,0,37.1
3173,KD Karthik,Kings XI Punjab,Sharjah Cricket Stadium,0,0,6.142857142857143,30.9,3,0,0.2
